GEAR,GEAR_ENG
De gaiola,cage
Salto e vara,jump and launch
Palangre de superfície,surface longline
Palangre de fundo,bottom longline
para bordo,on board
Redes de cerco com retenida,purse seine
Linhas simples e de vara (manual),simple stick and lines (manual)
"Covo, Nassa, Alcatruz, Murejona",
Palangres derivantes,derivative longlines
Palangres fundeados,anchored longlines
Ganchorra,hook
Cana e linha de mão,cane and hand line
Linha simples e de vara (mecanizada),simple stick and lines (mechanized)
Linha de mão,handline
Rede de cerco sem retenida (Lâmpara),purse seine (lampara)
Sacada,balcony
Rede de sacada operada de embarcação,vessel operated balcony net
De fundo de portas,doors background
Enchelavar,
Palangre de deriva,drift longline
Rede de cerco c/ retenida - 1 embarc.,purse seine - 1 vessel
Linhas e anzóis não especificados,unspecified lines and hooks
Xaqueira,checkerboard
Rede de cerco c/ retenida - 2 embarc.,purse seine - 2 vessels
Rede de saco com boca fixa,bag net with fixed mouth